Merk	Soort	Percentage_Alcohol	Brouwerij	Periode
Babylone	bitter	7%	Brouwerij Brussels Beer Project	2015-heden
Bacchus	oud bruin	4,5%	Brouwerij Van Honsebrouck	?-heden
Bacchus Frambozenbier	fruitbier	5%	Brouwerij Van Honsebrouck	?-heden
Bacchus Kriekenbier	fruitbier	5,8%	Brouwerij Van Honsebrouck	?-heden
Balthazar	winterbier	8,9%	Brouwerij Alvinne	2007-heden
Barbãr	blond, honingbier	8%	Brouwerij Lefebvre	1995-heden
Barbãr Winter Bok	bokbier, honingbier	8,5%	Brouwerij Lefebvre	1997-heden
Barbãr Cuveé Special	honingbier	8%	Brouwerij Lefebvre	2016-heden
Barbãr Rouge	honingkersbier	8%	Brouwerij Lefebvre	2018-heden
Barbe d'Or (Goudbaard)	blond	7,5%	Brouwerij Verhaeghe	2009-heden
Barbe Noire (Zwartbaard)	stout	9%	Brouwerij Verhaeghe	2011-heden
Barbe Rouge (Roodbaard)	amber	8%	Brouwerij Verhaeghe	2010-heden
Barse Cuvée	bruin	10%	Bierfirma Valocco	2013-heden
Bas	goudblond	6,5%	De Proefbrouwerij voor bierfirma Bas-bieren	2008-heden
Bastogne Pale Ale	Belgian IPA	6,5%	Brasserie de Bastogne	2011-heden
Basilius	amber	7%	De Proefbrouwerij voor ’t Brugs Bierinstituut	2011-heden
Bavaro	blond, lage gisting	3,6%	Brouwerij Haacht	?-heden
Bavik Blond	tafelbier	1,5%	Brouwerij Bavik	?-heden
Bavik Faro	tafelbier	1,5%	Brouwerij Bavik	?-heden
Bavik Pony-Stout	stout	5,2%	Brouwerij Bavik	?-heden
Bavik Premium Pils	pils	5,2%	Brouwerij Bavik	?-heden
Bavik Witbier	witbier	5,2%	Brouwerij Bavik	?-?
Bavik Triple Bock	bokbier	3%	Brouwerij Bavik	?-heden
Beer for Life	blond	6,5%	Brouwerij Dilewyns	2011-2011
Beernems Berenbier	blond	7,5%	brouwerij De Smedt nu Brouwerij Van Steenberge voor BIVO Drinks	2003-?
Beersel Bio	blond	7%	Geuzestekerij 3 Fonteinen	NaN
Beersel Blond	blond	7%	Geuzestekerij 3 Fonteinen	NaN
Beersel Lager	pils	5,2%	Geuzestekerij 3 Fonteinen	NaN
Bel Pils	pils	5%	Brouwerij Duvel Moortgat	NaN
Belgian Angel Stout	stout	5,2%	Brasserie Brootcoorens	NaN
Belgian Framboises	fruitbier	3,5%	Brasserie Lefebvre	2004-heden
Belgian Kriek	fruitbier	3,5%	Brasserie Lefebvre	2003-heden
Belge	Spéciale Belge	5%	Brasserie La Binchoise	2003-heden
