beer_name	username	taste_rating
Steenbrugge Wit	MMR	6
Steenbrugge Wit	radagast83	6
Steenbrugge Wit	ectuohy27	6
Steenbrugge Wit	madmitch76	6
Steenbrugge Wit	Leighton	6
Steenbrugge Wit	EdKing	6
Steenbrugge Wit	prawlie	4
Steenbrugge Wit	psilosophy	6
Steenbrugge Wit	otakuden	6
Steenbrugge Wit	turbothy	6
Steenbrugge Wit	imdownthepub	5
Steenbrugge Wit	kevd193213	3
Steenbrugge Wit	dutchbeerpages	7
Steenbrugge Wit	OleR	7
Steenbrugge Wit	sm89walt	7
Steenbrugge Wit	Muggus69	8
Steenbrugge Wit	Finwe	6
Steenbrugge Wit	ChainGangGuy	4
Steenbrugge Wit	yngwie	6
Steenbrugge Wit	yemenmocha	4
Steenbrugge Wit	thewolf	5
Steenbrugge Wit	yespr	6
Steenbrugge Wit	rakkasan	7
Steenbrugge Wit	Jukkabro	6
Steenbrugge Wit	Taverner	7
Steenbrugge Wit	liinis	6
Steenbrugge Wit	Miksu	8
Steenbrugge Wit	tomer	7
Steenbrugge Wit	rosenbergh	6
Steenbrugge Wit	mike1977ok	8
Steenbrugge Tripel	hopscotch	7
Steenbrugge Tripel	Stefano	6
Steenbrugge Tripel	malrubius	7
Steenbrugge Tripel	RuneStumo	6
Steenbrugge Tripel	PilsnerPeter	7
Steenbrugge Tripel	Meatmallet	6
Steenbrugge Tripel	Gary	5
Steenbrugge Tripel	yngwie	7
Steenbrugge Tripel	FlacoAlto	6
Steenbrugge Tripel	alobar	7
Steenbrugge Tripel	JanEric	7
Steenbrugge Tripel	michael-pollack	8
Steenbrugge Tripel	RichardGretton	4
Steenbrugge Tripel	Rune	8
Steenbrugge Tripel	OleR	6
Steenbrugge Tripel	MesandSim	7
Steenbrugge Tripel	KimJohansen	8
Steenbrugge Tripel	bembelembe	6
Steenbrugge Tripel	BoBoChamp	7
Steenbrugge Tripel	thewolf	7
Steenbrugge Tripel	gnoff	6
Steenbrugge Tripel	faroeviking	5
Steenbrugge Tripel	shrubber85	7
Steenbrugge Tripel	skortila	6
Steenbrugge Tripel	NoiZe	8
Steenbrugge Tripel	note666	7
Steenbrugge Tripel	heavy	7
Steenbrugge Tripel	Jukkabro	7
Steenbrugge Tripel	Skinnyviking	7
Steenbrugge Tripel	Rastacouere	7
Steenbrugge Tripel	Hugh	6
Steenbrugge Tripel	Marko	5
Steenbrugge Tripel	ogivlado	6
Steenbrugge Tripel	FrankJohansen	6
Steenbrugge Tripel	oh6gdx	6
Steenbrugge Tripel	TBone	5
Steenbrugge Tripel	bager	6
Steenbrugge Tripel	iosonomarco	6
Steenbrugge Tripel	joergen	5
Steenbrugge Tripel	omhper	7
Steenbrugge Tripel	GSAP	6
Steenbrugge Tripel	kp	5
Steenbrugge Tripel	halfonit	6
Steenbrugge Tripel	5000	5
Steenbrugge Tripel	jimmack	9
Steenbrugge Tripel	aspidites	6
Steenbrugge Tripel	Spiesy	7
Steenbrugge Tripel	Pigfoot	6
Steenbrugge Tripel	lachesis	6
Steenbrugge Tripel	Gromit	7
Steenbrugge Tripel	Kåstå	6
Steenbrugge Tripel	thedm	7
Steenbrugge Tripel	Indra	7
Steenbrugge Tripel	presario	6
Steenbrugge Tripel	Murphy	3
Steenbrugge Tripel	Uglyradio	8
Steenbrugge Tripel	JPDIPSO	5
Steenbrugge Tripel	pilsnerrogge	7
Steenbrugge Tripel	OlJuntan64	6
Steenbrugge Tripel	kmeves	7
Steenbrugge Tripel	belgianhomebrew	8
Steenbrugge Tripel	legion242	8
Steenbrugge Tripel	NJJereme	6
Steenbrugge Tripel	teddybeer	6
Steenbrugge Tripel	Benzai	7
Steenbrugge Tripel	nick76	7
Steenbrugge Tripel	Spelt	6
Steenbrugge Tripel	beernovice39	7
Steenbrugge Tripel	smith4498	7
Steenbrugge Tripel	JDBaker11058	7
Steenbrugge Tripel	Cuso	7
Steenbrugge Tripel	garza	7
Steenbrugge Tripel	wbdace	5
Steenbrugge Tripel	glennmastrange	8
Steenbrugge Tripel	Scouser	6
Steenbrugge Tripel	crossovert	8
Steenbrugge Tripel	psilosophy	6
Steenbrugge Tripel	puboflyons	7
Steenbrugge Tripel	Vaiz	6
Steenbrugge Tripel	Nordcore	6
Steenbrugge Tripel	checkmatei1	7
Steenbrugge Tripel	Wheatyweiss	6
Steenbrugge Tripel	Countbeer	4
Steenbrugge Tripel	pilgrimoutlaw	8
Steenbrugge Tripel	ClubGonzo	7
Steenbrugge Tripel	Miksu	7
Steenbrugge Tripel	TaxiDriver	7
Steenbrugge Tripel	larsga	7
Steenbrugge Tripel	gunnar	5
