Name	Brewery	Style	ABV	IBU	Location	Brewery_Website	Out_of_Production
Rare Maya	Zythologist	Sour	6.0	N/A	Gouy-lez-Piéton	https://en.brasseriezythologist.com	Available
Rare Noces De Bois 2022	Zythologist	Bière de Garde	6.3	N/A	Gouy-lez-Piéton	https://en.brasseriezythologist.com	
Origin	Zythologist	Saison	5.6	N/A	Gouy-lez-Piéton	https://en.brasseriezythologist.com	No longer in production
Rare Praline	Zythologist	Stout	10.0	N/A	Gouy-lez-Piéton	https://en.brasseriezythologist.com	No longer in production
Rare Prison Brett	Zythologist	Brett Beer	6.6	26.0	Gouy-lez-Piéton	https://en.brasseriezythologist.com	No longer in production
Rare Rizom	Zythologist	Sour	7.5	N/A	Gouy-lez-Piéton	https://en.brasseriezythologist.com	
Rare Sauce Brasil	Zythologist	Sour	7.5	N/A	Gouy-lez-Piéton	https://en.brasseriezythologist.com	
Rare Speculooze	Zythologist	Porter	8.5	N/A	Gouy-lez-Piéton	https://en.brasseriezythologist.com	
Rare Tiny House	Zythologist	Sour	5.5	N/A	Gouy-lez-Piéton	https://en.brasseriezythologist.com	
Rare Umeboshi	Zythologist	Saison	6.0	N/A	Gouy-lez-Piéton	https://en.brasseriezythologist.com	
Rare Yoghourt	Zythologist	Sour	6.5	N/A	Gouy-lez-Piéton	https://en.brasseriezythologist.com	
Little Q Porter	Diaz Brewing Company	Porter	7.0	24.0	Baudour	https://www.diazbrewingcompany.com/	Available
99 Problems	Diaz Brewing Company	Sour	5.5	60.0	Baudour	https://www.diazbrewingcompany.com/	Available
Can't Tell Me Nothing	Diaz Brewing Company	IPA	5.6	N/A	Baudour	https://www.diazbrewingcompany.com/	No longer in production
Christmas In Baudour	Diaz Brewing Company	Blond	7.2	N/A	Baudour	https://www.diazbrewingcompany.com/	Available
Diaz Brewing Company 1 Year Anniversary	Diaz Brewing Company	Strong Dark Ale	10.5	N/A	Baudour	https://www.diazbrewingcompany.com/	Available
Encore	Diaz Brewing Company	IPA	5.4	45.0	Baudour	https://www.diazbrewingcompany.com/	Available
Genesis	Diaz Brewing Company	IPA	8.0	18.0	Baudour	https://www.diazbrewingcompany.com/	Available
Hainaut Double IPA	Diaz Brewing Company	IPA	7.8	N/A	Baudour	https://www.diazbrewingcompany.com/	Available
Into the Fog	Diaz Brewing Company	IPA	6.8	12.0	Baudour	https://www.diazbrewingcompany.com/	Available
